id,title,abstract,content,s_content,t_content,img,lasttime,ref,click,share,good,edittime,tag,items,lemmaID,editor_goodVersionCount,editor_commitPassedCount,editor_level,editor_featuredLemmaCount,editor_createPassedCount,editor_commitTotalCount,editor_experience,editor_passRatio,flag
1,百度百科,263,8539,4,7,13,2018-09-21,35,250879122,10620,60079,517,1,1,85895,21.48,349276,5.8,17.2,5558.88,401995,16075.1,85.76,1
6,雁荡山,239,4278,7,16,9,2018-09-17,10,5035149,875,4599,304,1,1,85904,472.52,654574,6.2,115.8,9256.32,736120,343627000,86.04,1
12,绿茶,413,15421,8,15,15,2018-08-31,5,13551149,671,4337,446,1,6,13497,15.52,408724,4.92,8.16,5348.6,462775,171803000,86.68,1
25,幻听,112,1310,6,0,2,2018-08-10,7,610692,19,1930,39,4,8,7259092,15.4,409197,4.84,13.56,5023.88,463103,171803000,74.6,1
29,Java,225,12524,10,10,8,2018-09-01,51,11084097,1134,18550,652,2,2,85979,407.4,344369,7.96,103.8,3435.84,397129,32095,88.08,1
31,MVC框架,186,6945,8,9,2,2017-04-23,14,3305445,566,1967,78,2,1,9241230,0.8,66103,3.28,1,2176.48,67560.3,171801000,81.92,1
77,西汉长信宫灯,230,2843,6,2,2,2018-08-11,5,364593,55,360,27,1,1,8084379,136,237941,6.04,6.48,4042.92,265635,171814000,85.16,1
96,回魂夜,93,1073,6,2,0,2018-07-13,11,2188167,72,2324,93,9,4,86825,29.08,409769,4.88,28.04,5069.12,463864,171810000,85.68,1
98,吉祥三宝,110,2497,6,0,3,2018-09-20,13,1349646,184,1714,54,5,2,86851,11.56,173248,5.68,8.96,1581.4,199848,6396.28,85.4,1
101,笔仙,87,1682,8,4,0,2018-08-30,15,4284823,30,18356,33,1,8,4881779,76.76,339724,4.24,73.44,2924.4,392288,14364.8,79.32,1
105,Google,637,11904,7,22,14,2018-10-03,113,18134727,1144,20255,974,3,1,86964,48.4,356822,8,42.92,7614.64,409647,33820.4,93.36,1
111,毛丝鼠,293,5115,8,6,8,2018-09-02,10,13979191,356,1826,104,3,3,3032766,55.2,442042,6.56,56.04,2981.88,495325,17461.8,85.92,1
153,舍利子,299,5600,4,6,7,2018-06-11,33,7304498,342,17030,249,2,2,499,24.84,244317,4.68,20.56,3654.12,272107,171805000,82.28,1
181,血族,241,2374,8,4,26,2018-08-15,12,3814748,79,5917,38,6,12,13989057,30.64,238497,4.88,24.2,3813.16,266151,171807000,90.32,1
277,赴汤蹈火,139,1418,7,4,0,2018-08-17,9,306785,16,1521,28,1,2,19667603,17.52,173240,5.68,17.56,1466.24,199647,6039.36,93.76,1
294,清明节,521,15596,4,9,16,2018-09-24,45,36381949,4882,74134,526,4,17,137575,77.08,510918,5.92,48.76,4474.4,590087,12674.8,85.2,1
318,寒食节,546,6107,5,19,5,2018-10-14,11,3264885,282,3981,186,2,1,90690,1033.36,345139,4.44,315.64,4637.96,397806,71000.3,84.52,1
354,荼蘼,173,1358,10,2,20,2018-08-17,14,1399571,103,7508,44,1,3,19630540,149.16,172816,8.96,134.64,1540.8,199211,27203,96.72,1
366,勾股定理,288,3308,5,7,7,2018-09-17,10,8463613,882,29458,692,2,1,91499,2.28,512211,4.56,2.4,4310.84,591780,356.56,80.64,1
386,井田制,292,5359,7,2,7,2018-06-06,27,1015098,180,1991,74,1,1,91855,170.04,180001,6.32,118.96,2299.12,206688,37864,85,1
396,c小调第五交响曲,271,2181,6,0,4,2018-09-09,9,1157125,135,2839,128,4,38,7391401,747.6,26636.2,10.04,576.8,968.4,27173.5,179881,92.56,1
418,唐卡,445,7965,10,9,20,2018-09-12,25,2796036,300,2435,161,6,3,92422,56.96,343584,8.04,44.88,3182.72,396361,39085.2,88.52,1
421,吴清源,473,9714,6,11,12,2018-06-05,25,3300876,1013,5319,125,4,2,9392,3078.24,188224,7.84,632,6612.76,214913,159355,91.88,1
464,围城,86,12220,8,8,5,2018-08-30,5,7942591,596,8976,62,2,18,2068378,20.44,479549,4.68,15.68,7268.04,534755,343604000,80.08,1
477,寻租,336,8517,7,2,3,2018-07-26,3,768512,49,1374,46,1,1,93417,8.76,170504,3.72,2.72,1442.48,196885,1671.12,77.24,1
486,小雅·正月,174,3876,5,4,0,2018-07-03,3,73252,18,42,19,5,3,2001077,2331.26,267530,6.73684,480.737,4495.47,302370,121206,91.9474,1
511,科怀·伦纳德,307,14000,6,2,21,2018-10-06,151,4334202,268,2053,238,4,2,3780255,28.44,174116,6.6,26.04,1937.2,200699,16261.8,92.2,1
516,义经,169,1481,10,2,30,2018-07-18,20,415982,0,440,80,6,2,4369923,177.4,245535,7.12,176.76,3825.44,273450,171843000,87.84,1
598,致命紫罗兰,135,2873,8,2,0,2018-06-08,10,928087,16,1019,72,3,6,1214191,179.84,186594,9.36,142.16,8225.6,213101,73052.2,96.2,1
613,色即是空,85,1180,6,4,0,2018-08-11,9,12245480,222,6974,134,6,7,8259100,157.52,244552,8.64,146.52,3753.08,272469,171837000,91.32,1
617,神农架林区,621,8871,13,23,8,2018-10-04,20,2910343,215,279,55,1,2,2884040,63.36,185850,8.32,53.36,4705.72,212566,38004.7,89.2,1
623,见血封喉,267,3985,10,4,6,2018-06-11,8,2122239,302,2535,117,2,3,95972,182.72,344814,6.36,115.64,5127.76,397557,40821.5,88.52,1
626,绝句,111,4107,4,8,0,2018-06-06,7,2195193,108,7602,174,2,10,96019,1752.8,177789,7.36,360.2,4166.24,204155,92344.2,93.36,1
642,七言律诗,173,2329,4,0,0,2018-08-14,6,1384146,146,2410,87,4,1,10294898,1754.52,277453,5.48,362.4,5554.24,305390,171886000,77.4,1
685,犯罪心理,235,1940,9,4,30,2018-06-11,15,5800265,1069,5521,397,6,21,16916,1.76,540732,8.12,0.88,9325.64,597081,515423000,91.68,1
717,顽主,132,2150,8,4,0,2018-08-08,12,1117697,37,1168,56,4,3,97411,77.08,174178,5.68,67.84,2111.88,200598,18838.5,85.24,1
746,黄帝内经,343,14981,7,14,15,2018-06-11,125,5280627,537,5162,262,3,2,97915,421.32,355136,8.08,425.68,14246.5,408076,82454,82.92,1
781,地震,493,14707,12,13,19,2018-09-02,43,5267909,678,17458,687,3,12,40588,138.08,511095,5.88,87.76,4391.96,589943,14498.3,88.6,1
784,颠茄,263,6306,6,4,0,2018-09-17,8,621664,36,733,55,2,1,98550,40.32,406279,5.32,34.12,5127.24,460215,171809000,82.08,1
