字段,是否有可参考性,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
摘要文本字数,1,0.86,0.85,0.8533333333,0.8125,0.776,0.7516666667,0.7314285714,0.72,0.7088888889,0.7,0.6809090909,0.6666666667,0.6569230769,0.6407142857,0.628,0.615,0.6076470588,0.5994444444,0.5926315789,0.586
正文字数,1,0.4,0.35,0.35,0.3225,0.316,0.315,0.32,0.31875,0.3244444444,0.33,0.3336363636,0.3433333333,0.3523076923,0.3564285714,0.352,0.350625,0.35,0.3483333333,0.3436842105,0.3455
二级标题个数,0,0.05,0.21,0.3033333333,0.4125,0.45,0.4583333333,0.45,0.4375,0.4288888889,0.416,0.4027272727,0.3925,0.38,0.3707142857,0.3626666667,0.355,0.3547058824,0.3488888889,0.3526315789,0.346
三级标题个数,1,0.73,0.73,0.68,0.6525,0.62,0.5933333333,0.5757142857,0.5525,0.5366666667,0.517,0.5054545455,0.4975,0.4861538462,0.4785714286,0.472,0.466875,0.4676470588,0.4638888889,0.4636842105,0.462
图片数,1,0.83,0.815,0.7966666667,0.7575,0.738,0.7283333333,0.7,0.67125,0.6455555556,0.619,0.5990909091,0.5875,0.5730769231,0.5592857143,0.5533333333,0.54,0.5382352941,0.5277777778,0.5215789474,0.5125
参考数,1,0.95,0.94,0.9166666667,0.9125,0.92,0.905,0.9,0.8975,0.89,0.883,0.8745454545,0.8625,0.8592307692,0.8457142857,0.8353333333,0.82,0.8082352941,0.8005555556,0.7942105263,0.779
浏览次数,1,0.74,0.73,0.6733333333,0.7,0.702,0.6916666667,0.6757142857,0.65125,0.6388888889,0.631,0.6118181818,0.5991666667,0.5953846154,0.5885714286,0.5813333333,0.57375,0.5652941176,0.5566666667,0.5473684211,0.543
分享数,1,0.37,0.41,0.4033333333,0.4125,0.42,0.4216666667,0.4242857143,0.42,0.4122222222,0.414,0.4181818182,0.4208333333,0.42,0.4142857143,0.416,0.413125,0.41,0.4061111111,0.4021052632,0.3995
点赞数,1,0.72,0.67,0.6666666667,0.6375,0.622,0.5983333333,0.5728571429,0.55875,0.5588888889,0.549,0.5472727273,0.535,0.5230769231,0.5142857143,0.5073333333,0.490625,0.4882352941,0.4811111111,0.4778947368,0.465
编辑次数,1,0.82,0.82,0.77,0.7475,0.742,0.7333333333,0.7314285714,0.71875,0.6988888889,0.681,0.67,0.66,0.6423076923,0.6357142857,0.622,0.608125,0.6035294118,0.6005555556,0.5915789474,0.5805
标签数,1,0.85,0.845,0.7,0.585,0.554,0.5116666667,0.4571428571,0.43375,0.3922222222,0.364,0.3709090909,0.3808333333,0.3653846154,0.3664285714,0.3526666667,0.335,0.3223529412,0.3105555556,0.3063157895,0.31
义项数,1,0.43,0.425,0.3933333333,0.3975,0.402,0.4066666667,0.3914285714,0.38875,0.3777777778,0.377,0.3736363636,0.375,0.3661538462,0.3657142857,0.368,0.36,0.3564705882,0.3494444444,0.3421052632,0.3485
平均优质版本数,1,0.8,0.78,0.75,0.7275,0.72,0.7183333333,0.7071428571,0.68375,0.6466666667,0.632,0.6254545455,0.62,0.6153846154,0.6135714286,0.6093333333,0.598125,0.5929411765,0.59,0.5805263158,0.5675
平均通过数,0,0.01,0.01,0.0333333333,0.0725,0.078,0.095,0.0985714286,0.15875,0.18,0.186,0.1781818182,0.18,0.1892307692,0.1892857143,0.1846666667,0.1925,0.2176470588,0.2433333333,0.2610526316,0.2785
平均等级,1,0.77,0.755,0.7733333333,0.76,0.748,0.7483333333,0.7371428571,0.7175,0.7033333333,0.699,0.6990909091,0.6866666667,0.6792307692,0.6728571429,0.668,0.658125,0.6535294118,0.6472222222,0.6442105263,0.6315
平均创建词条通过数,0,0.23,0.23,0.21,0.205,0.2,0.2,0.1985714286,0.2,0.2022222222,0.199,0.1990909091,0.2066666667,0.2176923077,0.215,0.2206666667,0.226875,0.2270588235,0.225,0.2342105263,0.239
平均经验,0,0.03,0.09,0.07,0.095,0.14,0.1216666667,0.1085714286,0.09625,0.1211111111,0.145,0.1590909091,0.1575,0.1530769231,0.1428571429,0.1346666667,0.126875,0.1329411765,0.1555555556,0.1705263158,0.1825
平均通过率,1,0.52,0.575,0.63,0.655,0.644,0.6566666667,0.6585714286,0.66375,0.6644444444,0.655,0.6572727273,0.6516666667,0.6461538462,0.6442857143,0.634,0.6225,0.6152941176,0.6061111111,0.6005263158,0.5935
平均创建词条总数,0,0.01,0.01,0.03,0.0725,0.08,0.095,0.1214285714,0.1775,0.1777777778,0.186,0.1763636364,0.1816666667,0.1953846154,0.1892857143,0.1906666667,0.208125,0.2335294118,0.2522222222,0.2684210526,0.286
